via,zona,numeri,citta
CASTAGNI ,26 - B,TUTTI,PISA
CASTAGNOLO ,25 - A,TUTTI,PISA
CASTALDI PANFILO ,5 - B,SNC,PISA
CASTELFIDARDO ,8 - B,TUTTI,PISA
CASTELLANA ,42 - B,TUTTI,CALCI
CASTELLETTO ,16 - B,DAL 2 AL 32,PISA
CASTELLETTO ,45,11,PISA
CASTELLO ,35 - A,TUTTI,VECCHIANO
CASTELLO ,37 - B,TUTTI,SAN GIULIANO TERME
CASTELLO ,39 - A,TUTTI,SAN GIULIANO TERME
CASTELNUOVO GUIDO ,31 - B,TUTTI,SAN GIULIANO TERME
CASTELSARDO ,12 - A,TUTTI,CASCINA
CASTINELLI RIDOLFO ,13 - A,TUTTI,PISA
CATALANI ,43 - A,TUTTI,SAN GIULIANO TERME
CATALANI ALFREDO ,3 - A,TUTTI,PISA
CATALLO ,21 - B,TUTTI,PISA
CATENE ,31 - B,TUTTI,SAN GIULIANO TERME
CATTANEO CARLO ,31 - A,TUTTI,SAN GIULIANO TERME
CATTANEO CARLO ,44,138/A,PISA
CATTANEO CARLO ,8 - A,TUTTI,PISA
CAVA ,41 - B,TUTTI,CALCI
CAVA DI SOTTO ,41 - B,TUTTI,CALCI
CAVALCA DOMENICO ,23 - A,TUTTI,PISA
CAVALCANTI GUIDO ,17 - B,TUTTI,SAN GIULIANO TERME
CAVALCAVIA ,7 - A,TUTTI,PISA
CAVALIERI ,23 - A,TUTTI,PISA
CAVALIERI ,45,3; 7,PISA
CAVALIERI ,45,2; 6,PISA
CAVALIERI BONAVENTURA ,36 - A,DAL 39 AL 41 DAL 60 AL 64,SAN GIULIANO TERME
CAVALIERI BONAVENTURA ,37 - A,DAL 1 AL 37/A DAL 8 AL 56,SAN GIULIANO TERME
CAVALIERI DI VITTORIO VENETO ,40 - A,TUTTI,SAN GIULIANO TERME
CAVALLOTTI ,41 - A,TUTTI,CALCI
CAVALLOTTI FELICE ,23 - B,TUTTI,PISA
CAVALLOTTI FELICE ,36 - A,TUTTI,SAN GIULIANO TERME
CAVE ,35 - B,TUTTI,VECCHIANO
